participant_id,role,department,comfort_with_ai,main_interest_category,main_interest_detail,concern_category,concern_detail,free_text_feedback
904498,Undergraduate Student,Education,Uncomfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Education writing,Data Privacy,Unclear where AI vendors store and reuse our Education data,"I've only dabbled with AI and feel uncertain, I'd like to strengthen my academic writing with AI — that said, data privacy is my biggest concern."
523737,Research Scientist,Medicine,Comfortable,Literature Review,Summarizing and screening large bodies of Medicine literature efficiently,Hallucinations and Accuracy,AI confidently inventing facts and citations in Medicine work,"I'm reasonably comfortable using AI day to day, what excites me most is speeding up literature reviews but the accuracy and hallucination problem concerns me."
142244,Faculty,Business,Neutral,Teaching and Course Design,Rethinking assessments in Business now that students have AI tools,Student Overreliance on AI,Overreliance eroding foundational competencies among Business students,"I have mixed feelings about AI, I'm most interested in applying AI to teaching and course design, though I worry students will lean on AI too heavily. Examples relevant to my day-to-day would make it stick."
865290,Graduate Student,Business,Comfortable,Programming Assistance,Getting help writing and debugging code for my Business work,Research Integrity,"Maintaining honest, reproducible practices as AI enters Business research","I'm reasonably comfortable using AI day to day, I'm hoping to get better at using AI for coding, though my main worry is protecting research integrity. Time for questions specific to Business would be valuable."
238855,Administrative Staff,Sponsored Programs,Comfortable,Research Compliance,Understanding how AI tools intersect with Sponsored Programs compliance requirements,Security Risks,AI tools opening new security and data-leak risks for Sponsored Programs systems,"I already use AI fairly regularly, I need AI guidance that respects research compliance — that said, security risks are top of mind for me. A hands-on session with real Sponsored Programs examples would help a lot."
247630,IT Staff,Information Technology,Comfortable,Programming Assistance,Speeding up software prototyping and automation in Information Technology,Data Privacy,Sensitive Information Technology data being exposed when pasted into AI tools,"I already use AI fairly regularly, I'm hoping to get better at using AI for coding but data privacy is my biggest concern. I'd appreciate clear guidance tailored to Information Technology work."
407795,IT Staff,Information Technology,Neutral,Generative AI Tools,Comparing chatbots and assistants for practical Information Technology use cases,Data Privacy,Unclear where AI vendors store and reuse our Information Technology data,"I have mixed feelings about AI, I want to understand which generative AI tools are worth using but data privacy is my biggest concern."
621498,Research Scientist,Public Health,Comfortable,Programming Assistance,Learning to use AI coding assistants for Public Health scripts and tools,Data Privacy,Sensitive Public Health data being exposed when pasted into AI tools,"I'm reasonably comfortable using AI day to day, I'm hoping to get better at using AI for coding but data privacy is my biggest concern. Please include practical takeaways I can use right away."
376148,Administrative Staff,Student Affairs,Comfortable,Administrative Efficiency,Reducing time spent on email and forms across Student Affairs operations,Lack of Training,Few resources to help Student Affairs colleagues build practical AI skills,"I already use AI fairly regularly, I'm focused on cutting down administrative busywork, though the lack of training is what holds me back. I'd appreciate clear guidance tailored to Student Affairs work."
802560,Undergraduate Student,Biology,Very Comfortable,Generative AI Tools,Getting hands-on practice with current generative AI for Biology tasks,Student Overreliance on AI,Worried Biology students stop thinking critically when AI does the work,"I'm an enthusiastic adopter of AI tools, I want to understand which generative AI tools are worth using but I worry students will lean on AI too heavily. Examples relevant to my day-to-day would make it stick."
224919,Graduate Student,Computer Science,Very Comfortable,Administrative Efficiency,Reducing time spent on email and forms across Computer Science operations,Academic Misconduct,Hard to tell AI-assisted from independent work in Computer Science courses,"I'm an enthusiastic adopter of AI tools, I'm focused on cutting down administrative busywork, though I'm concerned about academic misconduct. A hands-on session with real Computer Science examples would help a lot."
965959,Faculty,Biology,Neutral,Grant Writing,Using AI to outline aims and polish narratives for Biology funding,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Biology work,"I'm somewhere in the middle on AI, I'd especially value help with grant writing but copyright and IP questions worry me. I hope the workshop balances enthusiasm with caution."
833115,Graduate Student,Engineering,Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Engineering writing,Lack of Training,Not enough hands-on training to use AI confidently in Engineering,"I already use AI fairly regularly, I'd like to strengthen my academic writing with AI — that said, the lack of training is what holds me back. Time for questions specific to Engineering would be valuable."
300757,Undergraduate Student,Medicine,Comfortable,Student Learning Support,Helping Medicine students use AI tutors without undermining their own learning,Bias and Fairness,Worried about fairness when AI informs Medicine decisions about people,"I'm reasonably comfortable using AI day to day, I really want to use AI to better support student learning, though I worry about bias and fairness in these tools. A hands-on session with real Medicine examples would help a lot."
706824,Postdoctoral Researcher,Public Health,Very Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Public Health writing,Research Integrity,Concerned about properly attributing AI contributions in Public Health scholarship,"I use AI extensively and feel confident with it, I'd like to strengthen my academic writing with AI, though my main worry is protecting research integrity. I hope the workshop balances enthusiasm with caution."
875322,Graduate Student,Medicine,Comfortable,Literature Review,Speeding up systematic literature searches across Medicine databases,Cost and Resources,Equitable access concerns when AI tools require paid Medicine subscriptions,"I'm reasonably comfortable using AI day to day, what excites me most is speeding up literature reviews, though cost and access are practical concerns for us. Concrete do's and don'ts would make this more useful."
200057,Graduate Student,Engineering,Neutral,Career Development,Preparing for an AI-influenced job market after my Engineering studies,Research Integrity,Worried AI-generated text could undermine integrity of Engineering research outputs,"I'm somewhere in the middle on AI, I see AI skills as important for my career but my main worry is protecting research integrity. A hands-on session with real Engineering examples would help a lot."
783780,Faculty,Computer Science,Neutral,Student Learning Support,Helping Computer Science students use AI tutors without undermining their own learning,Academic Misconduct,Hard to tell AI-assisted from independent work in Computer Science courses,"I have mixed feelings about AI, I really want to use AI to better support student learning but I'm concerned about academic misconduct. I'd appreciate clear guidance tailored to Computer Science work."
766533,Faculty,Humanities,Neutral,Teaching and Course Design,Building lecture materials and active-learning activities faster for Humanities students,Hallucinations and Accuracy,AI confidently inventing facts and citations in Humanities work,"I have mixed feelings about AI, I'm most interested in applying AI to teaching and course design but the accuracy and hallucination problem concerns me. Concrete do's and don'ts would make this more useful."
144866,Graduate Student,Public Health,Comfortable,Data Analysis,Interpreting statistical results and building reproducible Public Health pipelines,Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Public Health,"I already use AI fairly regularly, I'm keen to use AI for data analysis — that said, copyright and IP questions worry me. Please include practical takeaways I can use right away."
357457,Undergraduate Student,Business,Comfortable,Generative AI Tools,Getting hands-on practice with current generative AI for Business tasks,No Major Concerns,Generally optimistic about AI's role in supporting Business tasks,"I already use AI fairly regularly, I want to understand which generative AI tools are worth using but I don't have major concerns at this point. Examples relevant to my day-to-day would make it stick."
691275,Faculty,Computer Science,Uncomfortable,Student Learning Support,Helping Computer Science students use AI tutors without undermining their own learning,Research Integrity,"Maintaining honest, reproducible practices as AI enters Computer Science research","I'm not very confident with AI yet, I really want to use AI to better support student learning but my main worry is protecting research integrity. Please include practical takeaways I can use right away."
412345,Undergraduate Student,Public Health,Uncomfortable,Student Learning Support,Creating practice problems and study aids for struggling Public Health students,Bias and Fairness,AI models producing biased outputs that disadvantage some Public Health groups,"I've only dabbled with AI and feel uncertain, I really want to use AI to better support student learning, and at the same time I worry about bias and fairness in these tools. Please include practical takeaways I can use right away."
167286,Administrative Staff,Business,Neutral,Administrative Efficiency,"Automating reports, scheduling, and routine Business paperwork with AI",Data Privacy,Protecting confidential participant and student data from AI services,"I have mixed feelings about AI, I'm focused on cutting down administrative busywork, though data privacy is my biggest concern. I hope the workshop balances enthusiasm with caution."
765776,Faculty,Computer Science,Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Computer Science writing,Academic Misconduct,Hard to tell AI-assisted from independent work in Computer Science courses,"I'm reasonably comfortable using AI day to day, I'd like to strengthen my academic writing with AI, and at the same time I'm concerned about academic misconduct. Examples relevant to my day-to-day would make it stick."
104116,Graduate Student,Biology,Comfortable,Research Productivity,Speeding up routine research tasks so I can focus on Biology questions,Research Compliance,Unclear how AI tools fit existing Biology regulatory requirements,"I already use AI fairly regularly, I'd love practical ways to make my research more productive, and at the same time staying compliant with research rules is a real concern. Time for questions specific to Biology would be valuable."
507552,Graduate Student,Public Health,Neutral,Research Productivity,"Using AI to draft, organize, and accelerate my Public Health research workflow",Lack of Training,Few resources to help Public Health colleagues build practical AI skills,"I'm somewhere in the middle on AI, I'd love practical ways to make my research more productive — that said, the lack of training is what holds me back. I hope the workshop balances enthusiasm with caution."
344634,Undergraduate Student,Humanities,Neutral,Student Learning Support,Creating practice problems and study aids for struggling Humanities students,Student Overreliance on AI,Students leaning on AI instead of building core Humanities skills,"I have mixed feelings about AI, I really want to use AI to better support student learning — that said, I worry students will lean on AI too heavily. A hands-on session with real Humanities examples would help a lot."
860664,Research Scientist,Engineering,Very Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Engineering projects,Research Compliance,AI use possibly conflicting with IRB and Engineering compliance rules,"I use AI extensively and feel confident with it, I'd love practical ways to make my research more productive, though staying compliant with research rules is a real concern. Examples relevant to my day-to-day would make it stick."
194454,Research Staff,Medicine,Neutral,Administrative Efficiency,"Automating reports, scheduling, and routine Medicine paperwork with AI",Research Integrity,"Maintaining honest, reproducible practices as AI enters Medicine research","I'm somewhere in the middle on AI, I'm focused on cutting down administrative busywork, and at the same time my main worry is protecting research integrity. I hope the workshop balances enthusiasm with caution."
789075,Undergraduate Student,Education,Neutral,Student Learning Support,Supporting students who need extra help understanding Education concepts,Hallucinations and Accuracy,Fabricated references and wrong answers undermining trust in Education tasks,"I'm somewhere in the middle on AI, I really want to use AI to better support student learning, though the accuracy and hallucination problem concerns me. Examples relevant to my day-to-day would make it stick."
566904,Research Staff,Public Health,Very Comfortable,Grant Writing,Drafting and tightening grant proposals for Public Health sponsored projects,Research Integrity,Worried AI-generated text could undermine integrity of Public Health research outputs,"I use AI extensively and feel confident with it, I'd especially value help with grant writing, though my main worry is protecting research integrity. A hands-on session with real Public Health examples would help a lot."
773716,Faculty,Computer Science,Comfortable,Grant Writing,Improving clarity and turnaround on competitive Computer Science grant applications,Academic Misconduct,Hard to tell AI-assisted from independent work in Computer Science courses,"I'm reasonably comfortable using AI day to day, I'd especially value help with grant writing but I'm concerned about academic misconduct. Please include practical takeaways I can use right away."
322246,Undergraduate Student,Engineering,Very Comfortable,Student Learning Support,Supporting students who need extra help understanding Engineering concepts,Student Overreliance on AI,Students leaning on AI instead of building core Engineering skills,"I'm an enthusiastic adopter of AI tools, I really want to use AI to better support student learning but I worry students will lean on AI too heavily. A hands-on session with real Engineering examples would help a lot."
734534,Department Chair,Computer Science,Neutral,Teaching and Course Design,Rethinking assessments in Computer Science now that students have AI tools,Lack of Training,"Staff lack guidance on safe, effective AI use in Computer Science","I'm somewhere in the middle on AI, I'm most interested in applying AI to teaching and course design — that said, the lack of training is what holds me back. I'd appreciate clear guidance tailored to Computer Science work."
211179,Research Staff,Biology,Uncomfortable,Data Analysis,Using AI assistants to write and debug analysis code for Biology data,Cost and Resources,Unsure how to fund sustainable AI access for Biology staff,"I'm not very confident with AI yet, I'm keen to use AI for data analysis, and at the same time cost and access are practical concerns for us. Please include practical takeaways I can use right away."
749076,Academic Advisor,Engineering,Comfortable,Administrative Efficiency,"Automating reports, scheduling, and routine Engineering paperwork with AI",Student Overreliance on AI,Overreliance eroding foundational competencies among Engineering students,"I'm reasonably comfortable using AI day to day, I'm focused on cutting down administrative busywork — that said, I worry students will lean on AI too heavily. I hope the workshop balances enthusiasm with caution."
744894,Faculty,Business,Comfortable,Teaching and Course Design,Rethinking assessments in Business now that students have AI tools,Security Risks,Shadow AI use creating unmonitored vulnerabilities across Business infrastructure,"I already use AI fairly regularly, I'm most interested in applying AI to teaching and course design — that said, security risks are top of mind for me. I hope the workshop balances enthusiasm with caution."
498110,Graduate Student,Humanities,Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Humanities writing,Lack of Training,Few resources to help Humanities colleagues build practical AI skills,"I already use AI fairly regularly, I'd like to strengthen my academic writing with AI — that said, the lack of training is what holds me back. Please include practical takeaways I can use right away."
650796,Graduate Student,Computer Science,Neutral,Literature Review,Speeding up systematic literature searches across Computer Science databases,No Major Concerns,Generally optimistic about AI's role in supporting Computer Science tasks,"I have mixed feelings about AI, what excites me most is speeding up literature reviews, and at the same time I don't have major concerns at this point."
234460,IT Staff,Research Computing,Comfortable,Research Computing,Scaling models and pipelines on high-performance computing for Research Computing,Lack of Training,Few resources to help Research Computing colleagues build practical AI skills,"I already use AI fairly regularly, I'm interested in running AI workloads on our computing resources but the lack of training is what holds me back. Time for questions specific to Research Computing would be valuable."
377884,Research Scientist,Public Health,Comfortable,Grant Writing,Improving clarity and turnaround on competitive Public Health grant applications,Research Compliance,AI use possibly conflicting with IRB and Public Health compliance rules,"I'm reasonably comfortable using AI day to day, I'd especially value help with grant writing, and at the same time staying compliant with research rules is a real concern. Concrete do's and don'ts would make this more useful."
784536,Graduate Student,Engineering,Comfortable,Grant Writing,Drafting and tightening grant proposals for Engineering sponsored projects,Research Integrity,Concerned about properly attributing AI contributions in Engineering scholarship,"I already use AI fairly regularly, I'd especially value help with grant writing, though my main worry is protecting research integrity. A hands-on session with real Engineering examples would help a lot."
891247,Research Staff,Research Computing,Neutral,Research Productivity,Cutting time spent on repetitive analysis steps in my Research Computing projects,Research Integrity,"Maintaining honest, reproducible practices as AI enters Research Computing research","I have mixed feelings about AI, I'd love practical ways to make my research more productive, and at the same time my main worry is protecting research integrity. Examples relevant to my day-to-day would make it stick."
511047,Academic Advisor,Student Affairs,Comfortable,Administrative Efficiency,Reducing time spent on email and forms across Student Affairs operations,Student Overreliance on AI,Students leaning on AI instead of building core Student Affairs skills,"I'm reasonably comfortable using AI day to day, I'm focused on cutting down administrative busywork, and at the same time I worry students will lean on AI too heavily. Concrete do's and don'ts would make this more useful."
483193,Research Staff,Public Health,Uncomfortable,Grant Writing,Using AI to outline aims and polish narratives for Public Health funding,Data Privacy,Sensitive Public Health data being exposed when pasted into AI tools,"I'm not very confident with AI yet, I'd especially value help with grant writing, and at the same time data privacy is my biggest concern. Time for questions specific to Public Health would be valuable."
394133,Undergraduate Student,Public Health,Comfortable,Academic Writing,Polishing prose for Public Health papers while keeping my own voice,No Major Concerns,No significant worries; mainly curious how AI helps Public Health work,"I already use AI fairly regularly, I'd like to strengthen my academic writing with AI, and at the same time I don't have major concerns at this point. A hands-on session with real Public Health examples would help a lot."
145462,Graduate Student,Humanities,Comfortable,Literature Review,Summarizing and screening large bodies of Humanities literature efficiently,Academic Misconduct,Rising plagiarism and unauthorized AI use in Humanities coursework,"I'm reasonably comfortable using AI day to day, what excites me most is speeding up literature reviews — that said, I'm concerned about academic misconduct."
379398,Faculty,Engineering,Very Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Engineering projects,Student Overreliance on AI,Overreliance eroding foundational competencies among Engineering students,"I use AI extensively and feel confident with it, I'd love practical ways to make my research more productive — that said, I worry students will lean on AI too heavily. Examples relevant to my day-to-day would make it stick."
576381,Research Staff,Engineering,Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Engineering projects,Research Integrity,Worried AI-generated text could undermine integrity of Engineering research outputs,"I already use AI fairly regularly, I'd love practical ways to make my research more productive but my main worry is protecting research integrity. A hands-on session with real Engineering examples would help a lot."
659747,Research Staff,Public Health,Comfortable,Research Computing,Running AI and ML workloads on shared Public Health computing resources,Data Privacy,Unclear where AI vendors store and reuse our Public Health data,"I already use AI fairly regularly, I'm interested in running AI workloads on our computing resources, though data privacy is my biggest concern. Time for questions specific to Public Health would be valuable."
708741,Librarian,Library Services,Neutral,Student Learning Support,Creating practice problems and study aids for struggling Library Services students,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Library Services work,"I have mixed feelings about AI, I really want to use AI to better support student learning — that said, copyright and IP questions worry me. I hope the workshop balances enthusiasm with caution."
498278,Undergraduate Student,Computer Science,Comfortable,Career Development,Understanding how AI is reshaping jobs and roles in Computer Science,Student Overreliance on AI,Worried Computer Science students stop thinking critically when AI does the work,"I already use AI fairly regularly, I see AI skills as important for my career — that said, I worry students will lean on AI too heavily. A hands-on session with real Computer Science examples would help a lot."
729723,Research Scientist,Medicine,Uncomfortable,Programming Assistance,Learning to use AI coding assistants for Medicine scripts and tools,Hallucinations and Accuracy,Hard to verify AI output accuracy for technical Medicine questions,"I've only dabbled with AI and feel uncertain, I'm hoping to get better at using AI for coding but the accuracy and hallucination problem concerns me. Time for questions specific to Medicine would be valuable."
525304,Research Staff,Engineering,Comfortable,Research Compliance,Understanding how AI tools intersect with Engineering compliance requirements,Bias and Fairness,Worried about fairness when AI informs Engineering decisions about people,"I'm reasonably comfortable using AI day to day, I need AI guidance that respects research compliance — that said, I worry about bias and fairness in these tools. Concrete do's and don'ts would make this more useful."
969693,Research Staff,Research Computing,Uncomfortable,Data Analysis,Interpreting statistical results and building reproducible Research Computing pipelines,Lack of Training,"Staff lack guidance on safe, effective AI use in Research Computing","I'm not very confident with AI yet, I'm keen to use AI for data analysis but the lack of training is what holds me back. I'd appreciate clear guidance tailored to Research Computing work."
606756,Undergraduate Student,Humanities,Very Comfortable,Academic Writing,Using AI to edit drafts and tighten arguments in Humanities writing,Student Overreliance on AI,Students leaning on AI instead of building core Humanities skills,"I'm an enthusiastic adopter of AI tools, I'd like to strengthen my academic writing with AI but I worry students will lean on AI too heavily. I'd appreciate clear guidance tailored to Humanities work."
322345,Librarian,Library Services,Neutral,Academic Writing,Polishing prose for Library Services papers while keeping my own voice,Lack of Training,"Staff lack guidance on safe, effective AI use in Library Services","I'm somewhere in the middle on AI, I'd like to strengthen my academic writing with AI, and at the same time the lack of training is what holds me back. I'd appreciate clear guidance tailored to Library Services work."
837232,Undergraduate Student,Humanities,Comfortable,Generative AI Tools,Understanding which generative AI tools actually fit Humanities workflows,Academic Misconduct,Hard to tell AI-assisted from independent work in Humanities courses,"I'm reasonably comfortable using AI day to day, I want to understand which generative AI tools are worth using, and at the same time I'm concerned about academic misconduct. Time for questions specific to Humanities would be valuable."
578593,Undergraduate Student,Biology,Neutral,Student Learning Support,Supporting students who need extra help understanding Biology concepts,No Major Concerns,No significant worries; mainly curious how AI helps Biology work,"I'm somewhere in the middle on AI, I really want to use AI to better support student learning — that said, I don't have major concerns at this point. Time for questions specific to Biology would be valuable."
978487,Undergraduate Student,Biology,Comfortable,Career Development,Building AI skills that strengthen my Biology career prospects,Lack of Training,"Staff lack guidance on safe, effective AI use in Biology","I'm reasonably comfortable using AI day to day, I see AI skills as important for my career but the lack of training is what holds me back. Please include practical takeaways I can use right away."
449466,Research Staff,Research Computing,Comfortable,Administrative Efficiency,Reducing time spent on email and forms across Research Computing operations,Research Integrity,"Maintaining honest, reproducible practices as AI enters Research Computing research","I'm reasonably comfortable using AI day to day, I'm focused on cutting down administrative busywork, and at the same time my main worry is protecting research integrity."
783841,Faculty,Medicine,Uncomfortable,Literature Review,Summarizing and screening large bodies of Medicine literature efficiently,Hallucinations and Accuracy,Hard to verify AI output accuracy for technical Medicine questions,"I'm not very confident with AI yet, what excites me most is speeding up literature reviews, though the accuracy and hallucination problem concerns me. I'd appreciate clear guidance tailored to Medicine work."
940340,Faculty,Humanities,Neutral,Research Productivity,"Using AI to draft, organize, and accelerate my Humanities research workflow",Lack of Training,Few resources to help Humanities colleagues build practical AI skills,"I have mixed feelings about AI, I'd love practical ways to make my research more productive, and at the same time the lack of training is what holds me back. I'd appreciate clear guidance tailored to Humanities work."
282594,IT Staff,Information Technology,Comfortable,Research Computing,Running AI and ML workloads on shared Information Technology computing resources,Data Privacy,Protecting confidential participant and student data from AI services,"I'm reasonably comfortable using AI day to day, I'm interested in running AI workloads on our computing resources — that said, data privacy is my biggest concern. Time for questions specific to Information Technology would be valuable."
282827,Research Staff,Sponsored Programs,Very Comfortable,Grant Writing,Drafting and tightening grant proposals for Sponsored Programs sponsored projects,Security Risks,Protecting campus systems from AI-related phishing and breaches,"I'm an enthusiastic adopter of AI tools, I'd especially value help with grant writing but security risks are top of mind for me. Examples relevant to my day-to-day would make it stick."
571937,Faculty,Humanities,Uncomfortable,Research Computing,Running AI and ML workloads on shared Humanities computing resources,Copyright and Intellectual Property,Protecting intellectual property when using AI tools in Humanities work,"I'm not very confident with AI yet, I'm interested in running AI workloads on our computing resources, and at the same time copyright and IP questions worry me. Please include practical takeaways I can use right away."
156170,Graduate Student,Business,Uncomfortable,Literature Review,Finding and synthesizing relevant papers for Business review work faster,Data Privacy,Unclear where AI vendors store and reuse our Business data,"I've only dabbled with AI and feel uncertain, what excites me most is speeding up literature reviews, and at the same time data privacy is my biggest concern. Concrete do's and don'ts would make this more useful."
121376,Graduate Student,Business,Comfortable,Academic Writing,Improving clarity and structure of my Business manuscripts and reports,Research Compliance,Keeping AI workflows compliant with sponsor and Business mandates,"I'm reasonably comfortable using AI day to day, I'd like to strengthen my academic writing with AI, and at the same time staying compliant with research rules is a real concern. Please include practical takeaways I can use right away."
574504,Faculty,Medicine,Very Comfortable,Grant Writing,Drafting and tightening grant proposals for Medicine sponsored projects,Lack of Training,"Staff lack guidance on safe, effective AI use in Medicine","I'm an enthusiastic adopter of AI tools, I'd especially value help with grant writing, though the lack of training is what holds me back. I hope the workshop balances enthusiasm with caution."
294329,Undergraduate Student,Medicine,Comfortable,Student Learning Support,Creating practice problems and study aids for struggling Medicine students,Hallucinations and Accuracy,Hard to verify AI output accuracy for technical Medicine questions,"I already use AI fairly regularly, I really want to use AI to better support student learning but the accuracy and hallucination problem concerns me. Please include practical takeaways I can use right away."
840138,Research Scientist,Biology,Neutral,Research Computing,Supporting researchers using GPUs and clusters for Biology AI work,Data Privacy,Protecting confidential participant and student data from AI services,"I have mixed feelings about AI, I'm interested in running AI workloads on our computing resources — that said, data privacy is my biggest concern. Time for questions specific to Biology would be valuable."
309637,Department Chair,Biology,Comfortable,Research Productivity,Speeding up routine research tasks so I can focus on Biology questions,Bias and Fairness,Hidden bias in AI tools affecting Biology students and applicants,"I'm reasonably comfortable using AI day to day, I'd love practical ways to make my research more productive, and at the same time I worry about bias and fairness in these tools. Time for questions specific to Biology would be valuable."
384585,Undergraduate Student,Biology,Very Comfortable,Generative AI Tools,Understanding which generative AI tools actually fit Biology workflows,No Major Concerns,"Few concerns so far, just want practical Biology guidance","I'm an enthusiastic adopter of AI tools, I want to understand which generative AI tools are worth using, and at the same time I don't have major concerns at this point. A hands-on session with real Biology examples would help a lot."
932730,Undergraduate Student,Education,Neutral,Academic Writing,Polishing prose for Education papers while keeping my own voice,Hallucinations and Accuracy,AI confidently inventing facts and citations in Education work,"I have mixed feelings about AI, I'd like to strengthen my academic writing with AI but the accuracy and hallucination problem concerns me. Examples relevant to my day-to-day would make it stick."
912853,Graduate Student,Humanities,Comfortable,Data Analysis,"Cleaning, exploring, and visualizing Humanities datasets more quickly",No Major Concerns,"Few concerns so far, just want practical Humanities guidance","I'm reasonably comfortable using AI day to day, I'm keen to use AI for data analysis, and at the same time I don't have major concerns at this point."
537610,Research Scientist,Biology,Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Biology projects,Data Privacy,Sensitive Biology data being exposed when pasted into AI tools,"I'm reasonably comfortable using AI day to day, I'd love practical ways to make my research more productive, though data privacy is my biggest concern."
206634,Graduate Student,Business,Very Comfortable,Research Productivity,"Using AI to draft, organize, and accelerate my Business research workflow",Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Business,"I use AI extensively and feel confident with it, I'd love practical ways to make my research more productive but copyright and IP questions worry me. A hands-on session with real Business examples would help a lot."
323351,Academic Leadership,Sponsored Programs,Comfortable,Research Compliance,Ensuring data handling and AI use meet Sponsored Programs regulatory standards,Research Compliance,Unclear how AI tools fit existing Sponsored Programs regulatory requirements,"I'm reasonably comfortable using AI day to day, I need AI guidance that respects research compliance — that said, staying compliant with research rules is a real concern. Examples relevant to my day-to-day would make it stick."
100844,Graduate Student,Business,Uncomfortable,Generative AI Tools,Comparing chatbots and assistants for practical Business use cases,Copyright and Intellectual Property,Concern about AI training on copyrighted Business materials without permission,"I've only dabbled with AI and feel uncertain, I want to understand which generative AI tools are worth using — that said, copyright and IP questions worry me. Concrete do's and don'ts would make this more useful."
115646,Research Staff,Sponsored Programs,Neutral,Administrative Efficiency,Reducing time spent on email and forms across Sponsored Programs operations,Security Risks,Protecting campus systems from AI-related phishing and breaches,"I have mixed feelings about AI, I'm focused on cutting down administrative busywork, though security risks are top of mind for me. I hope the workshop balances enthusiasm with caution."
238223,Department Chair,Computer Science,Very Comfortable,Programming Assistance,Getting help writing and debugging code for my Computer Science work,Bias and Fairness,Hidden bias in AI tools affecting Computer Science students and applicants,"I'm an enthusiastic adopter of AI tools, I'm hoping to get better at using AI for coding, though I worry about bias and fairness in these tools. I hope the workshop balances enthusiasm with caution."
